[Paz 15.03.2026 17:18:18,76] ========== KURULUM BASLADI ========== 
[Paz 15.03.2026 17:18:18,77] [OK] bin\winws.exe bulundu 
[Paz 15.03.2026 17:18:18,79] [OK] Eski gorev temizlendi 
[Paz 15.03.2026 17:18:18,89] [OK] Calisan processler kapatildi 
[Paz 15.03.2026 17:18:18,92] [OK] Zamanlayici gorevi olusturuldu 
[Paz 15.03.2026 17:18:18,94] [OK] Zapret servisi baslatildi 
[Paz 15.03.2026 17:18:18,95] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:18:18,99] [OK] Firewall kurali eklendi 
[Paz 15.03.2026 17:18:18,99] ========== KURULUM BASARI ILE TAMAMLANDI ========== 
[Paz 15.03.2026 17:18:19,07] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:18:19,08] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:18:19,21] [HATA] winws.exe kapandi - Hata kodu: 1 
[Paz 15.03.2026 17:18:44,75] ========== KURULUM BASLADI ========== 
[Paz 15.03.2026 17:18:44,75] [OK] bin\winws.exe bulundu 
[Paz 15.03.2026 17:18:44,78] [OK] Eski gorev temizlendi 
[Paz 15.03.2026 17:18:44,83] [OK] Calisan processler kapatildi 
[Paz 15.03.2026 17:18:44,86] [OK] Zamanlayici gorevi olusturuldu 
[Paz 15.03.2026 17:18:44,87] [OK] Zapret servisi baslatildi 
[Paz 15.03.2026 17:18:44,88] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:18:44,92] [OK] Firewall kurali eklendi 
[Paz 15.03.2026 17:18:44,93] ========== KURULUM BASARI ILE TAMAMLANDI ========== 
[Paz 15.03.2026 17:18:44,96] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:18:44,97] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:18:45,04] [HATA] winws.exe kapandi - Hata kodu: 1 
[Paz 15.03.2026 17:18:59,87] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:18:59,88] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:19:01,76] [HATA] winws.exe kapandi - Hata kodu: 1 
[Paz 15.03.2026 17:19:04,97] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:19:04,98] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:19:05,04] [HATA] winws.exe kapandi - Hata kodu: 1 
[Paz 15.03.2026 17:23:41,79] ========== KALDIR ISLEMI BASLADI ========== 
[Paz 15.03.2026 17:23:41,85] [INFO] Calisir winws.exe bulunamadi 
[Paz 15.03.2026 17:23:41,86] [OK] Zamanlayici gorevi silindi 
[Paz 15.03.2026 17:23:41,92] [OK] Firewall kurali kaldirildi 
[Paz 15.03.2026 17:23:41,92] ========== KALDIR ISLEMI TAMAMLANDI ========== 
[Paz 15.03.2026 17:24:05,31] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:24:05,32] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:24:05,43] [HATA] winws.exe kapandi - Hata kodu: 1 
[Paz 15.03.2026 17:24:29,62] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:24:29,63] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:24:29,69] [HATA] winws.exe kapandi - Hata kodu: 1 
[Paz 15.03.2026 17:24:53,94] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:24:53,95] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:26:21,53] ========== KALDIR ISLEMI BASLADI ========== 
[Paz 15.03.2026 17:26:21,61] [INFO] Calisir winws.exe bulunamadi 
[Paz 15.03.2026 17:26:21,62] [INFO] Zamanlayici gorevi bulunamadi 
[Paz 15.03.2026 17:26:21,67] [INFO] Firewall kurali bulunamadi 
[Paz 15.03.2026 17:26:21,67] ========== KALDIR ISLEMI TAMAMLANDI ========== 
[Paz 15.03.2026 17:26:25,67] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:26:25,68] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:27:43,93] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:27:43,94] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:30:04,62] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:30:04,63] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:34:07,12] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:34:07,13] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:40:57,99] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:40:58,00] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:41:04,86] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:41:04,87] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:41:17,23] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:41:17,24] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:42:51,43] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:42:51,44] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:44:12,68] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:44:12,69] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:44:12,71] [HATA] Yonetici hakki yok, DNS/DoH atlandi 
[Paz 15.03.2026 17:44:43,36] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:44:43,37] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:44:44,35] [OK] DoH kaydi tamamlandi 
[Paz 15.03.2026 17:44:44,35] [INFO] DoH komutlari desteklenmedi/atlanmis olabilir 
[Paz 15.03.2026 17:46:39,36] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:46:39,37] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:46:39,86] [OK] DoH kaydi tamamlandi 
[Paz 15.03.2026 17:46:39,86] [INFO] DoH kaydi basarisiz oldu 
[Paz 15.03.2026 17:48:32,80] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:48:32,81] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:48:34,76] [OK] DoH kaydi tamamlandi 
[Paz 15.03.2026 17:48:34,76] [INFO] DoH kaydi basarisiz oldu 
[Paz 15.03.2026 17:50:18,25] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:50:18,26] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:50:57,32] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:50:57,33] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:51:53,07] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:51:53,08] [OK] DNS cache temizlendi 
[Paz 15.03.2026 17:55:00,07] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026 17:55:00,08] [OK] DNS cache temizlendi 
